region,topic,text,label
경기,주거환경,대부분의 행복주택 위치가 너무 열악함..사정이 넉넉치 않은 청년들을 위해 지은건데 대중교통이 제대로 다니지도 않는곳에 지으니...,-1
경기,주거환경,무지성으로 짓지말고 생각좀 하고 지으면 안되나? 진짜 세금낭비 미치네,-1
경기,주거환경,힘내자 경기도민..ㅠㅠ 서울에서 어떻게든 택비시 아껴보겠다고 오산가는 빨간버스타고 오산에서 집까지 택시타고 간적이 몇번 있어서 공감이 되네요.ㅋㅋㅋ,0
경기,주거환경,저도 용인 기흥 사는데 답이 없어요... 경기도까지 가는 심야 버스도 없고...,-1
경기,주거환경,사실 경기도민은 큰 불평불만이 없다. 평생을 1시간 반~2시간씩 왔다갔다 하면서 살아왔기 때문에 그게 당연한 일상이라고 생각하고...,-1
경기,주거환경,매일이 전쟁인 출퇴근러 경기도민들 화이팅입니다,0
경기,주거환경,용인에서 7년 살며 서울역 대방 역삼 송도를 다녔는데 진짜 힘듬. 못 버티고 서울왔다니 집이 좁아도 편함.,-1
경기,주거환경,진짜 경기도인이면 8시 출근인데 7시 10분 쟈철을 탈리가 없어.....6시 40분에 이미 쟈철역이었어야 맞음,-1
경기,주거환경,직장이  서울이면  아무리  싸도 출퇴근에 지쳐서  후회합니다 김포에서  강남까지  아침에 출근해보면 압니다...,-1
경기,주거환경,그냥 다 실거주용으로는 괜찮은듯? ...막상 실거주용으로만 산다고 치면 생각보다 수도권도 살만한 아파트가 많아 보면 ..,1
경기,주거환경,양주 이천 동두천 안성 경기도긴해도.. 충청도랑다를게없음...경기도에서도 촌동네면 천안 대전보다 후져요,-1
경기,주거환경,과천 ㄹㅇ개조용하고 안전한 도시...과천 오면서 공기가 너무 깨끗해 코가 아파 적응기간이 필요했을 정도로 공기도 좋음...,1
경기,주거환경,과천은 도시 자체가 자연공원이고 산에서 불어오는 신선한 공기가 너무 좋고 생활권은 강남가는 버스가 몇대가 있어 20분이면 강남역에 도착,1
경기,주거환경,시에서 어느 구나 동에서 사는지가 중요. 가장 편차 없는 동네가 과천. 서울과 초근접 이면서 동네 깨끗하고 외노자들 없고...,1
경기,주거환경,과천에서 나고 자란 토박이입니다!...모든 인프라를 누렸던 그때보다도 지금의 노잼 과천이 훨씬 훨씬 더 좋아용ㅎㅎㅎ,1
경기,주거환경,용인과 동탄 주소를 공유하는 그 중간쯤 살고있는데 진짜 살기 좋음 약간 도시 느낌도 나면서 뭔가 한적하고...,1
경기,주거환경,분당이 인프라 좋고 학군 환경 서울 접근성 종합적으로 제일 괜찮음. 오래된게 흠이지만 관리도 잘되고...,1
경기,주거환경,난 일산사는데 솔직히 1등나올줄알고있었는데 없네 서울에살다 여기로왔는데 진짜 왠만해서는 신혼부부 다른곳 만족하기 힘들다...,1
경기,주거환경,수원 틋징 온갖 범죄의 향현이지만안산의 일상과 마계인천에 의해 은근 부각 되지 않음ㅋㅋㅋ,-1
경기,주거환경,성남 분당구와 그외지역 진짜 극과극임 같은 도시인줄 첨알았음..일례로 정자역 태평역 분위기 진짜 완전 다름,-1
경기,주거환경,부천사는데 땅이 좁아서 버스 끝에서 끝으로 가도 거의 1시간 내외로 도착함 즉 인프라가 몰려있다는 장점이 있음...,1
경기,주거환경,"일산에서 나고 자랐는데, 학교나 회사때매 여기저기 살아보니 일산만큼 살기 좋은 곳이 없다.",1
경기,주거환경,"진심 교통만 좋으면, 인프라 충분하고 살기 좋은 동네임.",0
경기,주거환경,수원역은 수원사람들도 대중교통이용하지않으면 안가는곳임...수원에서 동수원쪽 살면 정말 쾌적하고 인프라 빵빵해서 살기좋습니다.,0
경기,주거환경,"...수원살지만 진짜 숨막힘ㅠㅠ (인구과밀, 주말 교통체증 등)",-1
경기,주거환경,"경기도중에서 과천이 참 애키우기 좋고 살기 좋고 깔끔하고 개발,재건축이 잘 되있어서 양아치들이 명함도 못내밉니다",1
경기,주거환경,과천 광명 군포 안양은 도시가 작아서 어디 이동해도 지루하지 않고 금방 입니다 평택 화성 수원 안산은 어디 이동할려면 너무 시간 걸려여...,0
경기,주거환경,서울 살다 경기도 신도시 살아보니 다시는 서울에서는 못살듯...거주는 경기도신도시가 최고임,1
경기,정책효능감,경기북부좀  살리세요!!!,-1
경기,정책효능감,안 좋은 곳에 지으면 '기피하는' 게 아니라 그냥 못 가는 거임. 거기서는 출퇴근이 안 되니까... (행복주택 위치 문제),-1
경기,정책효능감,인구절벽으로 부대가 사라지는 경우도 많지만 지역의 횡포로 사라지는 경우도 많으니 정신차려야 할 겁니다 군인을 호구로 아는 지역 정신차리십시오,-1
경기,정책효능감,학생 의견 무시하시는것 만큼 역지사지를 했음 좋겠습니다 제발 경기교육청 및 교육부 전원 8시 출근 지킬거 아니면 안나왔음 하는 바램입니다 (0교시 부활 논란),-1
경기,정책효능감,애들 말 다 들어보는데 늦게 일어나서가 아니라 밥먹고 뭐하고 씻고 이러면 시간 다 가고 학교에서 3~40분 걸리는 애들은 정말 힘들어할것같아요.. (0교시),-1
경기,정책효능감,0교시는 장거리 학생들에게 너무 가혹해요...부디 9시 등교가 계속되면 좋겠다는 생각이 듭니다.,-1
경기,정책효능감,분리되면 재정자립도가 높은 경기남부가 훨씬 이득이네. 경기북부의 규제를 먼저 푸는게 우선이지. (경기북도 분도 논란),-1
경기,정책효능감,인천은...발전이 가능했던거라 생각해요. 분도되면 오히려 피해보는건 경기북도라고 봅니다...단순 분도는 오히려 각종 인프라가 경기남도로 더 집중되는 역효과를 부를 수도...,-1
경기,정책효능감,남부에 비해 높은 산들이 많으며 그만큼 평지가 적다. 그런 산 구석구석에 군부대들이 아직 많으며 그에 따른 개발제한구역이 많다. (경기 북부 규제),-1
경기,정책효능감,그래서인가.. 복지는 없다고 보면 됨. 신혼부부 육아 관련 보조금 같은거 하나도 없어서 놀랐음. 옆동네 인천은 1억인데,-1
경기,정책효능감,저 도시들이 전부 경기 남부라는게 중요해보입니다...북부의 인구유입이 증가하고 있다지만...일자리가 없어 성장은 한계가 있어보입니다.,-1
경기,의료보건,수원에 대학병원도 두 개임. 그것도 중요 인프라인데ㅋ...,1
경기,의료보건,절대로 절대로 중앙대 광명병원을가지 않겠습니다...시술중 바늘이 혈관을 뚫어 돌아가셨습니다...실력없는 병원은 생명을 앗아갑니다.,-1
경기,의료보건,성애병원이 너무 오래 해먹었지 실력도 없음서 독점으로,-1
경기,의료보건,안산에 있는건 고대병원이에요 근데 규모가 좀 작아요,-1
경기,의료보건,...대학병원으론 큰 규모도 아니고 시설이 좀 낡은 편이네요 고대병원 본원하고 비교하면 많이 떨어지지요.,-1
경기,의료보건,안산 고대병원은 안산 사람들 사이에서 악명 높을텐데..,-1
경기,의료보건,고양시에 병원 개많은데 상급이 없다고? ㅠ,-1
경기,의료보건,상급종합은 아니여도 북부에 대학병원은 몇군데있음ㅇㅇ,1
경기,의료보건,평택덬 갈만한 병원도 없음. 수원은 병원도 많군,0
경기,의료보건,"성남은 의료 취약 지역이 아닌데 무턱대고 설치만 하다가 저렇게 사단 난 거지 ㅉ 조금 돈을 더 쓰더라도 가까운 대학병원 가지, 누가 공공병원 감?",1
경기,의료보건,의왕사는데 괜찮습니다.  서울 접근성이 좋은데 주변 자연환경이 좋아요.  의료접근성이 좋아서 아이들이 많이 아플때 이래서 병원근처가 비싸구나 생각했어요.,1
경기,의료보건,"성남에서 어릴때부터 살았는데 의료쪽은 정말 잘 되어있음. 분당차병원, 분당서울대병원, 분당제생병원등 태평쪽에 몇 년 전에 들어선 성남시의료원까지 졸라 많음.",1
경기,노동경제,정말 미쳤다 ㅠㅠ 누구 머리에서 나온거야? 서울 출퇴근이 힘들고 . 회사가 없다고요 (경기 북부 교통망 관련 불만으로 추정),-1
경기,노동경제,경기도지사 진짜 감각이 없네 경기북부끼리 연결해서 뭐하냐 북부에 일자리가 없는데ㅡㅡ 다들 서울이나 남부로 출퇴하는데...,-1
경기,노동경제,경기북부 언제 살릴꺼냐? 도로만 부실하냐? 일자리도 해결해라,-1
경기,노동경제,북부 경기도는 사실상 군부대 덕분에 경제가 돌아가던 동네가 많았죠,-1
경기,노동경제,"안양시 만안구 사는데 여기 기아 자동차, 현대모비스 다니는 사람 많아서 다들 여유 있으신데...",1
경기,노동경제,시화공단은 시흥시 입니다..반월공단하고 붙어있긴 하지만...,1
경기,노동경제,고양 안양 부천등은 이미 저물고 경기 남쪽으로 공장 지을 땅 있는 곳이 발전하는거죠.,-1
경기,노동경제,솔직히 성남이 1위일 수 밖에 없는게 한국의 게임회사들과 IT기업들 본사 대다수가 판교와 분당에 있음...,1
경기,노동경제,서울에 인접한 곳에 성남-용인-수원-화성-안산-시흥이 대규모 일자리벨트가 형성되어 있음...,1
경기,노동경제,판교분당은 사실상 전국1위로 강남서초와함께 최대업무지구임,1
경기,노동경제,기흥이 원조고 동탄에도 큰단지가 있죠. 물론 평택이 세계최대 단지고 파운드리가 평택에 몰빵이라 미래는 평택이죠,1
경기,노동경제,성남은 판교it단지 뿐만 아니라 원 구도심 상대원에 산업단지 조성 까지 하면 엄청나게 더 발전할겁니다.,1
경기,노동경제,수도권은 넘침,1
경기,노동경제,"경기도에 수많은 중소, 중견, 대기업 공장이 있다.",1
경기,노동경제,이공계열이면 오히려 경기권이 더 일자리많음 서울은근 일자리없음ㅋ,1
경기,노동경제,분당은 4차 산업의 핵심 산업인 IT기업이 모이고 있다는데 큰 가치가 있다고 봅니다. 판교를 품고 있기에 앞으로의 가치는 더 크다고 느껴지네요.,1
경기,교통인프라,도로가 문제긴 해..... 경기 북부는 고속화도로가 없어,-1
경기,교통인프라,도로가 생겨야 기업이 들어오지.. 어구(경기북부),-1
경기,교통인프라,파주를 제외한 나머지 도시(고양·양주·의정부·남양주)는 이미 수도권제1순환고속도로로 연결되어 있는데 굳이 새 노선을 만들어야 하나?,-1
경기,교통인프라,...기업입장에선 경기도 남쪽이나 충남이 더 유리할 수 밖에 없죠... (경기 북부 교통 문제),-1
경기,교통인프라,기본적으로 경기북도쪽에는 너무 많은 규제로 인해 인프라 구축도 어려울 뿐 만 아니라 기업유치가 전혀 없는 상황임...,-1
경기,교통인프라,어떤 면에선 수원이 진짜 교통 최악임... 수원에서 수원가는데 40분 넘게 걸림 진짜로...,-1
경기,교통인프라,수원 시내 이동이 개빡셈. 차 겁나 많은데 지하철은 다 서울가는 방향만 있고 버스 타면 차 막혀서 수원에서 수원이 1시간 넘게 걸림,-1
경기,교통인프라,수원이.. 교통이 진짜 악마임... 차 급나많음 쉰역에도 그럼...,-1
경기,교통인프라,수원 있을거 다 있으면서 조용해서 좋은데 근데 이상하게 교통이 안좋음.,-1
경기,교통인프라,다있는수원에 유일하게없는거 : 코스트코,1
경기,교통인프라,버스기산데 줫같은게 좁은데 차가 많아요. 그래서 가까운거리도 1시간 걸려요...호매실에서 동탄 노선은 왕복 5시간입니다ㅠ ㅠ,-1
경기,교통인프라,특례시중 으뜸도시고 사실상 광역시와 동급의 인프라 (수원),1
경기,교통인프라,수원 사는데 진짜 교통이 좋긴 한데 차가 너무 많아서 버스타나 차타나 오래 걸려서 답답하다...,-1
경기,교통인프라,수원 영통 10년째 삽니다. 인프라 잘 돼있고 동네 조용하고 깨끗해서 너무 만족해요.,1
경기,교통인프라,도마다 2개 있는 지방법원도 경기도는 수원이랑 의정부에 있죠...아주대병원도 수원에 있고~~,1
경기,교통인프라,5년차 수원인인데 수원은 뭔가 잘사는가 싶다가도 도시가 정돈이 안 되어있고 지저분함...수원역 같은 곳은 중국인도 많고 할렘 그 자체라...,-1
경기,교통인프라,부천은 서울과 가까운 곳인데 너무 저평가 되어서 그렇지 진짜 살기는 너무 좋아요. 모든 인프라가 형성 되어 있어 편리합니다.,1
경기,교통인프라,"중동, 상동 신도시 지역은 정말 살기 좋은. 1기 신도시중 유일한 평지. 대형 생활 편의시설 잘 되어 있음.",1
경기,교통인프라,시흥시는 너무넓고 섬도시임 각각 다 떨어져있음,-1
경기,교통인프라,안양 살다 이제 다른데 사는데 하나 진짜 그리운 것이 평촌역 바로 앞에 이마트 있고...엄청 좋았었는데...,0
경기,교통인프라,"수원에서...안양으로 와서 지금(현재 19살) 까지 살고있는데 안양 너무 좋음...5분거리에 학의천있고, 버스로 10분거리에 범계역...",1
경기,교통인프라,병원생겨서좋긴한데 코스트코가 맞은편이라 진짜 교통지옥돼부럿네 (광명),0
경기,교통인프라,...수원은 인구가 많고 도시규모가 커서 도시 집적화가 잘되어 있어서 인프라가 갖춰지기 좋은 도시임...,1
경기,교통인프라,"수원내에서 다 해결이 가능하고 누릴수 있는 자급자족이 되는 도시 + 서울 및 다른 경기도, 인천 인프라도 같이 누릴수 있는 도시",1
