region,topic,text,label
경남,주거환경,진주는 진짜 거품낀 동네임 ㅋㅋㅋ외지인들이 아파트값만 올려놓고 ㅋㅋ부동산 거품 심함 ㅋㅋ,-1
경남,주거환경,진주가 고향이고 현재 김포 살고 있지만...혁신도시나 진주역세권 아파트값 보면 기가 차더군요...경기도 신도시보다 비싼 아파트들이 있다니 참 희한한 도시입니다,-1
경남,주거환경,우리 부부도 직장 때문에 진주로 왔지만 집값이 엥??할 정도긴 함...,-1
경남,주거환경,살기는 진주가 좋지. 일 할 곳은 사천이 좋고. 가까워서 진주에 살고 일은 사천가서 하는 사람 많음.,1
경남,주거환경,"진주 자체가 약간 주변 산청, 사천, 고성 , 하동 등 거점주거도시에 병원도시지... 일자리 신경쓴다고 주거환경 나빠지면 오히려 진주시의 강점을 잃는거라...",1
경남,주거환경,진주가 살기에는 정말 좋은 곳인데 ㅎㅎㅎ.,1
경남,주거환경,"진주는 병원, 대학 등 서부 경남지역에 몰려있는 곳이고 대부분 서비스 산업입니다.",1
경남,주거환경,지방치곤 집값 비싸고 일자리는 최저임금 말곤 입사 하기도 힘듬... 일자리는 없는데 사람은 많음(창원),-1
경남,주거환경,"직장은 창원인데, 김해, 장유에서 출퇴근 하는 사람들 많음. 출퇴근 시간에 창원 터널은 미어 터진다.",-1
경남,주거환경,집값이 너무비싸 젊은 부부들이 창원에 안삽니다 그걸 생각하세요,-1
경남,주거환경,창원사는데 여긴 노령화가 부산 다음인거 같음...여기도 존나 비싼 아파트만 ㅈㄴ 짓고있고 일자리는 ㅈ도 없어서 경기권으로 가는사람이 트럭임,-1
경남,주거환경,젊은 사람들이 창원을 떠나는 이유는 미친 집값때문입니다. 신혼부부는 엄두도 못내는 가격입니다.,-1
경남,주거환경,...정치인들이 도시를 다 망쳐놓은데다 인프라도 100만도시 치고 모순적으로 옆도시 김해도 있는 전철 하나 없고 BRT 지어서 교통도 아주 개판나고.,-1
경남,주거환경,...창원 출신인 저는 서울보다 나은 곳이 창원이라고 생각합니다. ...정말 살기좋은 곳입니다.,1
