region,topic,text,label
경북,노동경제,포항의 인구유출 가장 큰 문제는 여성 일자리가 없는게 문제라고 봄...앞으로 들어올 2차전지들도 업무환경이 안좋은 남초회사들임.,-1
경북,노동경제,"서울 미만에서 몇안되는 미래 경쟁력이 있을거라 보는 도시가 포항임...4차산업의 핵심인 이차전지분야에서 에코프로, 포스코퓨처엠이라는 독보적인 사업장이 밀집해있는 도시",1
경북,노동경제,나도 구미사람으로 한때는 구미가 일도많고 사람도많고 경기가 진짜 좋았는데.. 타 지역에서 일을하러 많이왔었고...현재는.. 구미는 도저히 안되겠다는 생각이들어서...,-1
경북,노동경제,포항이 대구포함 경북지역 마지막 희망도시임 ..국내 초대규모 기업의 본사와 관련 하청기업들을 품고있다는거 자체가 엄청난 강점임,1
경북,노동경제,포항도 포스코에 에코프로까지 좋지만 의존도가 너무 높음. 구미는 대기업 뿐만 아니라 탄탄한 중견중소도 많고 방산업체도 많이 있음...,1
경북,노동경제,명확한 돈벌이가 없다면 경주에 살면 안됩니다. 회사를 그만두면 전공을 찿아서 이직할데가 없습니다.,-1
경북,노동경제,땅만 파면 나오는 쓸데없는 유물때문에 기업도 없습니다...제대로 된 대기업은 없습니다 (경주),-1
경북,노동경제,"구미시는 삼성,엘지가 경기도로 싹다 올라버려서 그지경이 된거고 그나마 포항은 포항제철이 있고 경주시는 관광도시니 공업보다 호텔,숙박,서비스업,식당 이런게 대체적...",0
경북,노동경제,"구미 최근 좋은 소식들이 많음. 점점 살아나고 있어요. 방산, 반도체 특화 단지, SK실트론 유치 등 호재들이 계속 생기고 있답니다.",1
경북,노동경제,구미에서 일하는데 공장이 현재 매우 없어요... 이유는 모두가 알고있는 그 이유죠...,-1
경북,정책효능감,포항은 이젠 공업도시 뿐만 아니라 관광도시가 거의 다 된듯한 느낌이고...신규산업 유치를 이미해서 4차산업쪽으로도 갈 거라서 다시 50만명을 돌파할 수 있을 거 같긴하네요.^-^,1
경북,정책효능감,전통적으로 교육열이 강해 자녀교육에도 큰 어려움을 겪지 않을 수 있는 도시 (포항),1
경북,정책효능감,"...경북이 낙후된 이유는 극단적 지역 이기주의 때문입니다...지역균형발전을 명목으로 경북도청은 대구에서 허허벌판 안동/예천으로 이전하고, KTX역 및 혁신도시가 구미가 아닌 김천에 들어서면서...",-1
경북,정책효능감,지금 포항에 살고 있는데 모든 애들이 대학교를 밖으로 나가고 고등학교도 특성화나 특목고간다고 다 빠져나가요.. 희망이 없어요..,-1
경북,정책효능감,포항 제철 믿고 너무 버티다가 인구박살났지 여성인구 유출 심각하던데...,-1
경북,정책효능감,현포항 5년 거주중...실제로 길거리에서 20대 젊은 인구들 진짜 보기 힘듬...여성 일자리는 완전 전멸. 그래서인지 출산율은 높은데...시정책이나 지원이 완전 별로고..,-1
경북,정책효능감,이거 구미시장이 어정쩡하다가 말아먹은거 아님? 외국기업 들어온다는 것도 막아놓고,-1
경북,정책효능감,LG에서 공장 지을땅 달라고 했는데. 그전 구미시장이 노 했음. 그래서 파주로 가버림.,-1
경북,주거환경,포항사람인데요...포항의 자연환경이나 입지가 포텐셜이 어마어마한도시라고 생각합니다...살기 너무좋습니다.,1
경북,주거환경,대구 토박이었는데 직장때문에 포항 구미 일 년이상 살아보니 포항이 제일 나음.. 구미는 진짜 금오산말고는 볼거없고 팍팍한 느낌이고...포항은 영덕이나 경주 가까워서 놀기좋고...,0
경북,주거환경,경주는 일할 젊은 사람이 없어요 시급 15000원으로 구직 해도 구인 잘 안돼요...밤 9시만 되면 경주의 거의 모든 가게가 불을 꺼버립니다,-1
경북,주거환경,물가도 관광지라서 너무 비쌉니다. 집값은 너무 싸고 안올라 갑니다. (경주),-1
경북,주거환경,경북에서 가장 살기좋은곳은 경산임 지하철도있고 그냥 대구시 경산이라고보면됨,1
경북,주거환경,달성군 테크노 폴리스군 여기 애들 진짜 많음 초중고가 10반넘고 주위에 회사도 대구에 평균연봉넘는 회사 많고 동네도 조용하고...,1
경북,주거환경,직장 때문에 포항으로 내려왔는데 진짜 할 게 너무 없고 길거리도 다 낡고 문화생활이라고 즐길 게 넘 없어서 우울증 올 거 같음,-1
경북,의료보건,포항에 대학병원 하나만 있었으면 좋겠어요.,-1
경북,의료보건,경북병뭔 세브란스 중입자 암치료기도 도입하고...대구 경북 사람도 서울로 KTX타고 빅5병원 덜가게좀 만들어라,-1
경북,의료보건,경북대 칠곡병원이 엄청크게 있고...계명대병원 새로만들건 엄청큰게있고...대구가톨릭대병원도...병상이 남아돌정도로 많은데 저기에 경북대병원을 하나더 짓겠다는건 좀...,1
경북,의료보건,경대 진료도 좀.. 저는 별로였어요,-1
경북,의료보건,경북대 병원 악명높죠,-1
경북,의료보건,포항에 의료시설이 진짜 부족하네...기독병원인가 뭐시기 있었던거 같고 선린병원 있고 포항의료원 있고 거의 이게 다인거 같은뎁,-1
경북,교통인프라,"포항은 세 도시중에서 가장 메리트 있는 도시입니다...교통불모지였던 과거에 비해 고속도로와 KTX SRT , 공항 , 여객선 등 이 있습니다.",1
경북,교통인프라,"안동/김천은...KTX역, 혁신도시가 들어서도 인구가 거의 증가하지 않고 있으며...도청이나 혁신도시의 우수한 인프라도 안동/김천 시민 이외에는 누리지 못하는 실정입니다.",-1
경북,교통인프라,구미토박인데 진짜 여기는 돈벌기위해 사는곳인가 싶을정도로 갈곳이 너무없음...,-1
경북,교통인프라,글쎄 포항도 좋긴하지만 구미에서는 어디로 가든 다 놀러가기 편함...서울방향으로 가든 부산으로 가든 2~3시간안에 다 갈수 있음...,1
경북,교통인프라,"구미시 교통은 건설중인통합공항...ktx구미역정차확정...LG,삼성,sk...빵빵한 기업있지요 포항은 위치가 너무 구석이구요",1
경북,교통인프라,구미는 일단 도시 중앙에 공단이 있고 외곽에 주거지 등이 있어서 40만 도시 느낌이 전혀 안남...,-1
경북,교통인프라,구미는 운전하기 제일 좋은 도시...구미는 전국 어디를 다냐봐도 운전자들이 얌전한 편에 속함.,1
경북,교통인프라,구미 버스비도 비싸고 버스 배차 간격 야랄난..자차 없으면 구미 살기 힘들어요..,-1
경북,교통인프라,구미... 버스가 자주 안다니고... 구미시내버스비 너무 비싸..,-1
경북,교통인프라,경북에서 가장 살기좋은곳은 경산임 지하철도있고 그냥 대구시 경산이라고보면됨,1
