region,topic,text,label
광주,주거환경,광주 원룸 월세 30선에서 형성되어 있지 않음? 30도 생각보다 비쌌나,1
광주,주거환경,광주는 2억 정도 아니면 들어갈 생각조차 하지마라,-1
광주,주거환경,광주 신축 아파트 기본이 6억 7억이야 ㅋㅋ 큰 평수엔 8억 9억 10억도 흔히 보이는데 너무 거품이지,-1
광주,주거환경,신축 46평 4억 머임..? 타 광역시 30년 넘은 씹구축 32평 울 집이 4억 넘는데;;,1
광주,주거환경,광주 아파트가격은 2억도 아깝다,-1
광주,주거환경,광주는 일자리도 많고 괜찮은 도시인데 전라도뿐 아니라 부산 대구 다 마찬가지로 지금 젊은층이 수도권으로 미친듯이 모이고 있음 그래서 저런곳 집사봐야 집값이 오를리가 없어서 수요가 거의 없는거지 그러니 똥값이 다 내놓는거고 이게 광주뿐 아니라 지방은 다 비슷할거고 수도권도 그냥 유지 수준이지 이제 폭발적으로 폭등하고 이런건 없을거야 일본처럼 가는거지,0
광주,주거환경,광주 월세도 쓸데없이 비싸고 교통도 별론데;,-1
광주,주거환경,나도 어제 첨으로 광주 건물들 환경 보고 깜놀.. 아니 민주당은 여태 호남지역에 우리 혈세를 그렇게 뿌려대놓고.. 뭘 한거야? 무안 살인 공항 만들고 적자까지 합 여태 3천억 이상 낭비했더만.. 그거 말고도 이거저거 지역 화폐니 뿌려댔던데.. 미치겄다 정말 80년대 영화 세트장인줄,-1
광주,주거환경,광주는 다 ㄱㅊ음 너무 외곽으로 빠지지만 않으면? 봉선동은 집값이 너무 비싸고 젊은 애들 그냥저냥 사는건 첨단 좋아 시내 쪽도 살기 괜찮고 접근성 좋은데 좀 시끄러움 공항 근처는 절대 피하고..,1
광주,주거환경,광주익인데 꽤 싸고 괜찮은 집들 많아ㅋㅋ 인프라 좋은 곳에 200/30으로 들어갔음,1
광주,주거환경,월세는 안살아봐서 모르겠고 아파트는 비싼편임,0
광주,주거환경,광주는 진짜 집값 완전 대도름 임금수준에 비해 절대 집사기 힘든 구조,-1
광주,주거환경,광주 요즘 집값 미쳤음 진심 왜 오르는지 이해안되는데 엄청 올랐어 저기 말고도 아파트들 3~4억이 그냥 가장 최저매매가야,-1
광주,주거환경,"광주덬인데 진짜이해가안됨..... 집값 오르는것처럼 지역 성장동력이나 산업기반, 상권이 발전했냐 하면 그것도 절대 아니고 오히려 젊은층 계속 빠져나가서 쇠퇴긴데 집값만 신기하게 계속 올라",-1
광주,주거환경,진짜 광주 맨날 맨날 시에서 물아껴 쓰자하고 아파트에서도 수도벨브 조정 조사하고 신청받음... ㅠㅠㅠㅠ,-1
광주,주거환경,최근에 상무지구 쪽 출장이 있었는데 전투기소음 진짜 장난 아니던데요 목센아 이런데도 비행기 소음 심하다고 해서 임장가서 느끼기도 했지만 전투기 소음은 진짜 머리가 아플정도 였습니다,-1
광주,주거환경,"지방 특성인지 광주 특성인진 모르겠지만 광주는 외노자촌 아니면 빌라 혼재되어있는게 부동산 가격이나 선호도에 큰 영향을 끼치진 않더라구요. 또한 봉선동 제외하고는 민도나 학군 분위기도 서울처럼 큰 차이가 느껴지진 않았습니다. 고만고만합니다. 최근들어 광주지역 아파트의 상품성이 급격하게 개선됐는데, 그 때문인지 1군 재정비사업 마친 아파트들의 선호도가 지역막론하고 강세더라구요.",0
광주,교통인프라,근데 인프라면에선 다른광역시에 비해 밀리는건 펙트임 복합몰만 봐도 시에도 있는게 광역시에 없음,-1
광주,교통인프라,"일단 버스부터 보면 배차간격부터가 좆같고 , 차로 10분거리가 버스타면 30분걸리는 경우 허다한데 운영중인 지하철 1호선은 인구밀집지역 다 빗나가고 2호선은 돈아낀다고 공사비도 좆같이 책정해서 하겠다는사람 없어서 계속연기되고있음 민주당이랑 결탁한 시민없는 시민단체랑 소상공인들이 맨날 예산 빼먹고 드러누워서 도시는 계속 낙후되고 그냥 답이없음",-1
광주,교통인프라,나 광주사는데 남구 동구 두개는 걸러야됨 진짜로,-1
광주,교통인프라,어디 갈데도 없고 가는데도 존나 오래걸리고 무조건 순환도로타고 돌아다녀야하고 주차공간도 좆같음 ㅇㅇ,-1
광주,교통인프라,솔직히 광역시중에 젤 인프라 낙후되고 광역시 메리트없는게 전라도 광주임,-1
광주,교통인프라,나 광주사람인데 광주 진짜 발전 멈춘지 한 10년은 된 것 같다 아파트는 걍 그 전까지 짓기는 하는데 그거야 건설사가 돈 벌려고 일 벌리는거지 그거 해놓고 들어 오는 인프라 하~나~도~ 없다,-1
광주,교통인프라,광주 1호선도 광주역 전남디 안지난거에서 이미 절반 망했었다고 본다,-1
광주,교통인프라,광주선 광역철도화 해서 나주까지 연결하면 안됨?,0
광주,교통인프라,광주 버스가 잘 되어 있다던데 배차 꽤 길지 않나,1
광주,교통인프라,애초에 저 공항때문에 광주 도시계획이 반병신이 된걸 생각하면 (특히 상무지구 계획 아작내놓은거) 어디로든 치우긴 해야했지 뭐. 그게 무안이니 문제다만,-1
광주,교통인프라,"코스트코, 이마트 트레이더스, 노브랜드 매장도 없고 ㅋㅋㅋㅋㅋ 써브웨이도 다른 광역시들 다 생길때 뒷북으로 생기고 노브랜드 버거도 최근에서야 생기고 이 동네는 발전하려 하면 ㅈ민단체가 염병을 떠니까 발전못하고 낙후되고 노잼되어가는거지 대전이 어찌보면 노잼프레임 잘 이용한거지 이 동네에서 태어나서 자랐지만 모든 수준에서 광주는 광역시 타이틀 달면 안됨",-1
광주,교통인프라,광주는 대중교통이 진짜 개후진것 같음 광역시 치고 평일에도 끔찍한 배차간격 주말에 버스 놓친다? 한세월 걸리지 환승도 30분 제한이라 배차간격 때문에 초기화될 때도 부지기수 2호선 공사 시작한지가 언젠데 지하철 공사한다고 통제해놓은 도로 제대로 복구도 안해뒀고 전국 광역시중에서 광주만큼 대중교통 후진곳은 없을것 같음 ㄹㅇ,-1
광주,교통인프라,광주는 기아 삼전 코카콜라땜에 소득은 높아도 인프라는 좆구림 ㄹㅇ,-1
