region,topic,text,label
대구,노동경제,"나, 대구사는데 국회의원 있는지도 모르겠네요. 활동중지중. 대구가 예산타령할 자격이나 있나 모르겠네요. 염치는 있어야지요.",-1
대구,노동경제,"대구 ,경북은 정부예산이나 지방예산 모두 반절 삭감 해야만 한다. 내란 동조 지역은 민주주의 의 국민 예우를 해줄 필요가 없기때문이다. 매년 반절 삭감 안한다면 정부의 기능 과 역활이 잘못 된것이다. 전부 구속 할수는 없지만.예산삭감은 아주 기본적인 대우이다.",-1
대구,노동경제,대구에 노인네들의 이기심으로 지역을 망쳐 놓았습니다 내란을 일으켰는데 어떻게 60~70%가 지지를 하는지 충격입니다,-1
대구,노동경제,대구에 수출기업체가 별로 없어서 그래요. 정치인들이 할 수 있는게 별로 없고 하지도 않아요. 대구 사람들이 스스로 수출 기업을 창업하고 키우는 수 밖에 없어요. 스타벅스의 창업자도 자기 고향에서 창업했죠.,-1
대구,노동경제,5. 대구가 고향인 창업자가 설립한 수도권에 있는 대기업들의 본사가 대구로 내려오면 좋죠. 미국에서는 그렇게 하더군요. 빌게이츠의 마이크로소프트도 실리콘 밸리에서 창업했으나 대기업이 되고 난후에 자기 고향으로 왔죠. 워렌버핏도 주식시장과 증권회사가 많은 뉴욕에서 창업했으나 대기업이 된후에 자기 고향으로 왔죠.,0
대구,노동경제,대구 젊은사람들 다 떠난다 그거부터 막아라 아휴,-1
대구,노동경제,대기업 하나둘 있으면 대구 인구 늘어난다 대기업이랑 여름날씨안더우면 대구인구 늘어난다,-1
대구,노동경제,대구 날씨는 예전만큼 안 덥기도 하고 이미 대구 사람들은 적응이 되어서리요^-^;; 다만 대기업 최소 중견기업만 몇 개 있으면 많이들 안 떠나긴하겠지요^-^;;,-1
대구,노동경제,일자리도 없고 최저임금도 안주고 미래도 없어 답 없는대구 성인되면 수도권으로 떠날겁니다,-1
대구,노동경제,대구가 도시철도 전부 마이너스 상태 라는데 왜 자꾸 엄청난 돈을 쓰는지 지금 우선 발전 되는 일자리 부터 만들고 그때 필요한 걸 ....,-1
대구,노동경제,지하철 더 만들지말고 그 돈으로 기업유치나 관광사업해라,-1
