region,topic,text,label
대전,주거환경,시골같아 보이지만 대전광역시 유성구는 서구와 더불어 대전에서 가장 집값이 비싼자치구 중 하나이며 전국에서 많지않은 인구가 증가하는 자치구중에서도 상위권의 자치구가 유성구이다.,1
대전,주거환경,대전 진짜 대구 시골 촌동네보다 못함ㅡㅡ 아파트는 많이 올라가고 있드만 충격먹음ㅋㅋㅋㅋ,-1
대전,주거환경,대전 올거면 최소 태평 문화(세이 근처) 오류 용문 이쪽으로 와야함 집앞에 마트나 걸어서 병원 다닐 만한 동네가 있는 곳이 이정도임 나머지는 집 값는 존나 비싼데 병원 한개 없는 도안이나 둔산 월평 외각지역이고 아니면 집값 존나 싼 동네로 가야함 살기 좋은 유성 배드타운이나 둔산 월평 탄방동 중심지는 집값이 존나 비싸지,0
대전,주거환경,10억이면 원하는곳 거의 다 살수 있다. 집값 개 저렴,-1
대전,주거환경,2000년대 이후부터 지금까지 쭉 대놓고 둔산 서쪽만 개발시킴. 자연스럽게 중구 동구는 병신됐고 둔산 도룡 도안 이쪽 서구 유성구만 존나 발전했지.,-1
대전,주거환경,대전 사는데 걍 특별할거없다 본것처럼 걍 집값 적당하고 있을건 다있음 뭐 놀러가고 그럴게 없긴하지 근데 이유없이 지방오는건 비추함 다시 올라갈때 개힘듬 차라리 서울 옆쪽으로 가라 구리나 성남이나 뭐...,0
대전,주거환경,둔산동 살기좋아~ 대전 자체가 조용하고 교통도 잘되있고 주거하기에는 좋은 광역시 느낌 ㅋㅋㅋㅋㅋ 빵 좋아하면 성심당 가까운 지역으로 가는 것도 추천함 둔산동도 좋고 유성구 (갑천ㅇㅇ)쪽도 좋음 신세계 백화점도 잇구,1
대전,주거환경,만년동 집 싸고괜찮은곳 많음 대부분 구축이긴한데 이가격에 이집이..? 싶은곳 꽤 있음 우리집도 그중하나ㅋㅋㅋㅋ 나는 구축 크게 신경안쓰는편이라 만족함 대중교통타기는 좀 어렵긴해,0
대전,주거환경,난 궁동 봉명동 구암동 문지동 전민동 관평동 죽동 어은동 신성동 살아봤는데 죽동 문지동 관평동이 제일 좋았어 기본적으로 사람 너무 많은 건 싫어하면서도 편의시설 먼 것도 또 싫어했거든... 구암동 신성동은 외진 곳이 많아서 좀 그랬고 전민동은 좀 오래된 건물이 많고 살았던 아파트에서 한참 나가야 버스 탈 수 있어서 불편하고 아파트가 오래된 만큼 외창이 바람이 너무 심하게 세서 힘들었오.. 장점은 산책로가 끝내주고 동네에 강변있어서 완전이쁨 바로옆 문지동 가면 맛있는 거 많음 궁동 어은동 봉명동은 대학로라 나 살 때 기준으로 새벽에 술먹고 고함치는 학생 많았음 대신 인프라 ㄱㅊ 결론은 관평동에 집 사서 정착했어 둔동도 20분 안쪽으로 걸리고 ㅋㅋㅋㅋ 이동네가 젤 편하더라고 사람도 꽤 있는데 많지않고 대형마트있고 아울렛있고...,1
대전,주거환경,쭉 서울 살다가 1년정도 살았는데 난 진짜 별로였어. 살기좋은건 서구 유성구 쪽이고 중구 동구 동쪽으로 갈수록 별로.. 도로도 직선이 없고 11시 1시 5시 방향 많아서 운전하기도 나쁘고 백화점도 물건이 많은듯 정작 사려는 브랜드는 거의 없었고. 산책로도 없고 녹지도 없고 좀 걷고싶어서 개천 있길래 갔는데 산책로가 아니라 하상도로(차도)가 있어서 당황했었어. 그린뉴딜 개천개선사업 봐도 고구마 백개. 인권 주거환경 환경보호 근로복지 이런쪽에서 사람들 사고방식이 90년대에 멈춰있는것 같았서 이질감 많이 느꼈어,-1
