region,topic,text,label
부산,노동경제,부산토박인데 진짜 깝깝함 기업들 다팔아쳐먹고 아파트나 처짓고 따지고보면 관광도시도 아니고 뭘처먹고 살라는지,-1
부산,노동경제,부산출신인데요 부산은 유독 건설업과 정경유착이 있는 느낌이에요; 부산만 그런게 아닐지도 모르지만요..,-1
부산,노동경제,"전 부산 토박인데 부산 떠났습니다. 부산에서 초중고대학 까지 나왔는데, 동창은 물론 친구들 70% 부산을 떠났습니다. 결혼하거나 직장 때문에 다 떠나요.",-1
부산,노동경제,부산에 직장이 없어요.급여는 타 지역에 비해 제일 후려쳐 바닥수준입니다. 허울만 광역시이고 급여수준은 바닥이죠.,-1
부산,노동경제,지금 부산에 일할 곳 정말 정말 없습니다. 20~30대 젊은 청년들 다 서울로 올라가고...그나마 있는 일자리라고 해도 서비스업 정도입니다.,-1
부산,노동경제,현재 20대가 바라보는 부산...평균 월급이 200만원 대라는 통계가 나왔습니다. 그것도 알바나 계약직이 80% 입니다. 제발 도시형 실버타운 만들 생각 아니면 아파트 건설 때려 치우고 공단 좀 만들어라.,-1
부산,노동경제,"저는...올해 28살 남자입니다. 부산은 중견 기업 이상의 회사가 거의 없고, 일자리나 청년정책도 부족한 상황입니다.",-1
부산,노동경제,"부산에서 청년들이 사라진 주 이유는 저출산이 아닙니다. 도심 평지 용지에 아파트 개발을 남발하고, 민원으로 인해 있던 산업체도 떠나게 하는 정책이 주 원인입니다.",-1
부산,노동경제,"서면 nc 백화점 허물고 주상복합 짓는거 보고 정 떨어져서 저도 부산 뜰려고 준비중입니다. 일자리 정말 없고 출퇴근하려고 양산, 김해, 기장, 창원 길만 막혀요ㅍ",-1
부산,노동경제,평택에서 근무 하고 잇는 부산 사람입니다 고향에서 일하고 싶어요😢 진심입니다 이제는 자리도 잡아서 못가겠죠 ㅠㅠ,-1
부산,노동경제,"군대 제외하고...30대 청년입니다. 아파트 작작 좀 지었으면 하고...탈부산 마려운 상태라고 말씀 드립니다....오죽하면 인근 지역인 김해, 양산으로 면접 보러 갔었습니다.",-1
부산,노동경제,부산 태생 40대인데 결혼하면서 남편따라 경기권 살고있지만 항상 그립다. 일자리만 있다면 부산 내려가고 싶음😢,-1
부산,노동경제,"관광도시 이지만 관광업에 의존해서 전부 서비스직 일자리 밖에 없습니다. 부산 일자리 콜센터, 쿠팡, 택배, 이런거 말곤 할 일이 없습니다. 인건비 타 지역에 비하면 70-80프로 수준밖에 안됩니다.",-1
부산,노동경제,부산에서 태어났지만 괜찮은 일자리를 찾으러 어쩔 수 없이 서울쪽으로 왔습니다. 제발 기업들이 많이 발전해서 젊은 사람들이 많았으면 좋겠어요ㅜㅜ😢,-1
부산,노동경제,더웃긴건 원인을 전국 모든사람들이 아는데 부산시에서는 그걸 해결하고자하는 의지가없음.,-1
부산,노동경제,"버스만 타봐도 젊은이 2, 늙은이 8정도의 비율임. 부산에 살고 싶어 하는 젊은이들도 일자리가 없어서 어쩔 수 없이 다 수도권으로 나가고 있고…",-1
부산,노동경제,부산의 큰 중견기업이 있던 근처에 아파트 지어서...입주민들이 입주 후에...계속 민원 넣어서 기업 전체가 서산인가로 옮겼다고. 부산의 인구감소는 부산시 공무원들과 부산시민들이 만든 합작입니다.,-1
부산,노동경제,제 지도교수님이 말씀하셨었죠. 동국제강같은 기업들 못 붙잡고 거다 아파트나 세우고 앉았으니 애들 취직할 곳이 없어졌다고,-1
부산,노동경제,일자리빼곤 살기에 최적화임 산맥이 막아줘서 고기압 잘 못들어오고 교통 잘돼있고 안춥고 안덥고<<이게 제일 최대장점임,-1
부산,노동경제,나도 상경 11년차인데 부산내려가고싶어.. 근데 가도 지금은 일자리도 마땅치않고...그래도 부산지역 공기업 공고 뜨면 매년 지원은 함,-1
부산,노동경제,부산이 좋으니까...... 일자리는 디지게없긴함ㅠㅠ... 있어도 질떨어지는 일자리고..,-1
부산,노동경제,양질의 일자리 빼고 다 좋음ㅇㅇ 근데 일자리 없는게 진짜 치명적인 단점이라 젊은 인구들 울며 겨자먹기로 타지역으로 가는 중 진짜 노인과 바다됨,-1
부산,교통인프라,제2의 도시 부산의 문제... 서울과 너무 멀다는 것. 결국은 추후 제2 의 도시 는 서울 옆 인천 이 되겠죠...,1
부산,교통인프라,부산은 땅끝마을이라 서울접근성 최악 다른 도시갈때 시간낭비 돈낭비 제일 해야 하는 도시 최악,1
부산,교통인프라,지방 중에 서울경기 다음으로 인프라 잘되어있는 곳이고 기후도 좋고 바다도 있고 인구도 적당하고 여러 이유가 있는듯,1
부산,교통인프라,서울도 살아봤는데 난 부산이 좋아 대중교통 잘 되어 있고 있을건 다 있고,1
부산,교통인프라,난 서부산에 안살아서 잘모르는데 시티즈 동부산맵 받아서 켜보면 기본적으로 깔린 고속도로들이 진짜 답없긴함.,-1
부산,교통인프라,동서고가 답도 없는거 맞는데 그거 없어지고 온갖잡차들 싹 다 가야대로로 내려오면 진짜 지옥된다ㄹㅇ - dc App,-1
부산,교통인프라,서면 전포 라인은 버스 전용차로라도 있는데 그쪽은 도로도 좁은데 교통량이 많음,-1
부산,교통인프라,해운대 수영쪽은 차량은 많은데 도로가 좁아,-1
부산,교통인프라,도로 구조가 좀 병신이긴 하더라 위쪽 도시들이랑 확실히 좀 다름,-1
부산,교통인프라,교차로도 좃같지만 부산 도로가 오래된 곳이 많아서 가다보면 갑자기 우회전 차선으로 변하고 좌회전 차선으로 변하고 개판오전분전임,-1
부산,교통인프라,연산교차로는 진짜ㄹㅇ이다 진짜헷갈리는데 사고나기딱좋음 거기다한번씩 경찰들숨어있다잡음 좃같음,-1
