region,topic,text,label
세종,주거환경,"세종시 가보면 다른 도시랑 분위기가 분명히 다름. 일단 서울, 경기 처럼 금토에 술먹고 놀러 댕길 유흥 인프라가 거의 없음...",-1
세종,주거환경,세종 사는데 아이들 키우기는 진짜 좋은 것 같습니다. 학교도 가깝고 차도 얼마 안 다녀서 안전하고 유흥시설도 없다보니까 시끄럽지도 않고 길도 깨끗해요.,1
세종,주거환경,세종시는 차없이 다니기 거리가 멀고 차는 너무 서행으로만 다녀야하고 걸어다니면서 은행이나 먹거리 병원등등 동선짜기가 불편해요...,-1
세종,주거환경,아파트고 상가고 땅투기만 하고 있으니 주택엔 사람이 살질 않고 그런데도 상가 임대료는 하늘을 뚫음. 상권이 살아날 리가 있나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,-1
세종,주거환경,"ㅋㅋ 난 세종 안살지만 4년살고 경기도왔다...아이아빠로써 세종이 가장 애키우기 좋았다. 공원도많고 도시자체가깨끗하고, 만족도는 도시중 가장 좋았던것같다.",1
세종,주거환경,"세종에서 장사하다 망해서 그만뒀는데 상가를 미친듯이 지어서 정말 인구대비 상가가 너무 많다...사실 세종에는 공무원, 연구원 같은 사람들이 많아서 소비도 잘 안되고...",-1
세종,주거환경,사람없고 상가도 텅텅 비었는데 집값만 비싼 이상한 동네,-1
세종,주거환경,동의 함. 잠시 편의점가야하는데도 지하로 들어가서 주차하는게 말이안됨 근대 보면 인도는 너무 넓음 ㅋㅋ 인도를좀만 짤라내서 잠시주차공간으로 바꿔주새요,-1
세종,주거환경,공무원들밖에 없고 돈많은 대전사람들은 다 전세주고 대전가서 사는데데다가.....애초에 상가들 너무 많이 뽑아서 아주 당연한 거임 ㅋㅋㅋ,-1
세종,주거환경,세종에서 9년있다가 작년에 대전으로 다시 갔는데 대전이 이렇게 재미있는 도시라는걸 항상 느끼고 있습니다. 세종 살때와 삶의 질이 달라요.,-1
세종,주거환경,계획 도시라 깔끔하고 정리 잘되어 있음...그런데 너무 비쌈. 그 돈 주고 굳이 세종까지?.....라는 생각이드는...,1
세종,주거환경,"현직 세종 주민입니다. 아파트나 동이름 뿐만 아니라 도로명도 보듬, 노을, 다솜, 마음 이런식으로 되있어서 예뻐요 ㅎㅎ",1
세종,주거환경,세종시 놀곳 진짜없음... 솔직히 애들 육아에는 좋지 어른들은 놀곳이 없음...,-1
세종,주거환경,삶의 만족도는 인생에서 가장 높습니다. 개인차가 당연히 있겠지만 욕심없이 건강하고 여유롭게 살고 싶은 사람들에게 딱 맞지 않나 싶습니다.,1
세종,주거환경,세종시 주민이자 청소년입니다 얼마나 유흥업소가 없고 얼마나 아동친화적이냐면 주변에 학교로 도배되있고 상가의 절반이학원이며 pc방은 더른동네를 가야하고...,-1
세종,주거환경,"1. ㅈㄴ 비싼 자취비용. 세종청사 주변에 작은 원룸이 1000/50에 관리비 별도가 시작임...세종 물가도 비싸고 집값(월세)도 비싼데, 공무직 월급으로 생활하기 어려운데...",-1
세종,주거환경,세종도 확실히 행정도시쪽 어진동 나성동 이쪽은 사람이 존나 몰려서 살긴함 인프라도 굉장히 좋고...애초에 부지자체가 좀 많이 넓어서 사람이 모여있는 곳도 한적함 이게 가장 큰 장점임,1
세종,주거환경,놀러갔는데...도시 경관이 진짜 완벽에 가까움 근데 진짜진짜로 최악인게 차 없이는 절대 살아갈 수 없는 도시임. 그리고 왜 유령도시라 불리는지 알겠음 ㄹㅇ 사람이 거리에 없음,-1
세종,주거환경,잠깐 일한적 있는데 어딜 가나 다 비슷비슷하고 가게들이 개성이 하나도 없어서 사람사는 느낌이 안들더라고요 분명 인구는 많은것 같은데....,-1
세종,주거환경,차있어야 편하지만 차가 있으면 그렇게 살기 좋을수가 없어여 ㅋㅋ 어딜가나 사람이 적으니 주차장도 있고 주차할 공간도 널널하고 도시 경관이 넘 깨끗합니당...,1
세종,주거환경,도시경관 깨끗하고 공원많고 좋은데 알면 알수록 겉만 번지르르한 도시인걸 떨치지 못하겠어요 차없으면 절대 근거리도 잘 못가고 상가 거의 공실이고 먹을데 진짜 없고 물가 진짜 높아요,-1
세종,주거환경,"거주는 해보지 못했지만 자주 놀러갔었는데 도시 경관이 정말 예쁜 신도시 그 자체고 호수공원, 수목원 규모가 엄청나고 아름다워요...",1
세종,의료보건,너무 상가공실이 많아 불편하고 삶의질이 떨어져요.당장 병원이 없어 첫째 둘째를 청주에서 낳았습니다. 어이구~~~맙소사,-1
세종,의료보건,다음달부터 직원들 월급도 못준다고 함... 세종시 공무원들은 왜 세종에 있는 병원 안가고 서울로 가냐?,-1
세종,의료보건,.세종시 고위공무원이 패싱한 병원 ㄷㄷ(세종충남대병원보고),-1
세종,의료보건,세종시 충남대 병원은 애초에 전공의 없는 병원,-1
세종,의료보건,세종시는 괜찮은 병원이 없냐.. 치과든 피부과든 .. 결국 서울가서 치료받고 오네 ㅜ,-1
세종,의료보건,"6. 세종 사는데 갈만한 병원이 없어보임,,, 에이앱 둘러봤는데 진짜 대전도 괜찮은 곳이 없어보이네,,, 근처 충대병원이나 가볼까",-1
세종,교통인프라,세종터미널이나 재건축해라 컨테이너 말이되냐 종합경기장도 완성해라 공터만 있다5 뭐하는거냐,-1
세종,교통인프라,세종에 살지만 세종상권은 절망 그자체;;;,-1
세종,교통인프라,세종은 도로부터 바꿔야 됩니다... 차가 원활히 이동할수있는 길이 되어야 뭘 하지...,-1
세종,교통인프라,차 없는 도로가 목표면 적어도 대중교통 버스를 쫙 깔아놔야하는데 그것도 아니면 노답,-1
세종,교통인프라,세종 공실률의 가장 큰 문제는 도로망임...여름 겨울에 걸어 나가기 힘들면 차로 가야 하는데 주차를 할수가 없음...전적으로 세종시 문제는...도시 설계의 잘못이 가장 큼,-1
세종,교통인프라,세종 몇년 살았지만 일단 공무원들 빼고 돈벌곳이 없음 그리고 교통이 말도 안되게 안좋음 특히 도로상황이 최악,-1
세종,교통인프라,일자리도 없고 백화점이나 대형브랜드 아울렛도 없고...외각 톨게이트근처에 물류단지라도 방향 나눠서 유치해서 건설해라,-1
세종,교통인프라,"세종은 대중교통이 문제입니다. BRT는 정말...오후에는 도저히 탈 수가 없어요, 3-4대 만차로 보내고 기다려도 탈 수 없어요;;",-1
세종,교통인프라,"한 평생 경기도에서만 살다가 남편따라 세종왔는데...상가는 너무 많고 다들 비슷 비슷한 식당들 사이에는 임대 써져있는 빈 상가 .. 거기에 아울렛 , 백화점도 없음",-1
세종,교통인프라,"1. 시내 도로망 자체는 괜찮은데, 출입구가 몇개 없어서 거기로만 몰림...4. 차 없는 도시를 만들겠다 해놓고 차 없으면 사실상 못가는 곳이 태반임.",-1
세종,교통인프라,세종시는 대중교통은 타기 힘들어서 대부분 차를 운전하게 되어요. 상가 주차도 정말 힘듭니다...갓길 주차도 안 되어요.,-1
세종,교통인프라,대중교통 부족이 큰 이유인 것 같은게 KTX는 커녕 무궁화호 기차도 안 다니고 버스로밖에 못다니는데 버스 노선이 많지도 않아요.,-1
세종,교통인프라,도로좀 크게 지어라 세종은 도로 설계를 잘못지었음,-1
세종,교통인프라,현직n년차 세종시민입니다 아무것도없습니다 아시는게 다 맞습니다 제발 놀것좀 할것좀 먹을것좀 달라고 유령도시 그 자체,-1
세종,교통인프라,"운전자에게 불친절한 도로...대중교통 및 보행자에게는 정말 친절한 동네...버스들은 그냥 지하로 내려가거나, 고가도로로 혼자 올라가니까...정말 쌩쌩 달리더라",-1
세종,교통인프라,교통이 별로야 자취는 아니고 한 3년쯤 매우 자주 갔었는데 차 없으면 어딜 가기가 안좋더라,-1
세종,교통인프라,17. 교통이헬임...이용하는 차들은 많은데 도로는 겁나 좁고 그렇가고해서 차없으면 다니기 쉬운것도아님...^^,-1
세종,교통인프라,계획도시인데 차없는도시로 계획해서 도로가 좁아....ㅜ 근데 차가 겁나많음....,-1
세종,교통인프라,19. 차없는 도시인데 차 안끌고다니면 너무 불편하고 차 진짜많이다님 도로젤넓은데가4차선임....말이되나ㅠ,-1
세종,교통인프라,지방에서 지방으로 갈 때 배차도 없고 심지어 서울로 갈 때도 배차 얼마없고...,-1
세종,교통인프라,세종그냥 아파트밖에없어. 아파트도 공실천지... +상가도 공실천지.,-1
세종,교통인프라,세종사람들 백화점 가려면 대전 가야됨 그정도로 아무것도 없어. 세종은 과장이 아니라 정말 아무것도 없음..,-1
세종,교통인프라,치안은 좋고 의료교통인프라놀거리맛집 이런건 서울에 비해 완전 떨어져...자차 있으면 괜찮을거 같긴해 걸어서 20분거리 버스타도 20분 걸려서...,-1
세종,정책효능감,도시계획이 잘못된 대표도시...차를 세울 데가 없다...아무곳에도 차를 세워 담배한갑 살 자리도 없다...,-1
세종,정책효능감,결과적으로 안타깝지만 세종 자체가 역사에 남을 돈지랄 뻘짓같다....몬 아파트말곤 볼것도 없는 시골 베드타운에...,-1
세종,정책효능감,눈에보이는 불황을 눈앞에두고 마치 중부권강남이라도 될줄알고 투자한 개인들도 문제가많음...생산시설 없는 도시는 그냥 깍기인형에 불과함.,-1
세종,정책효능감,주차하기 거지같이 해놓고 무슨 상가가 잘되길 바라는지...어떤인간 대가리에서 이딴식으로 도시 설계했는지 정말 핵노답임,-1
세종,정책효능감,세종 10년차 거주자로써 한마디 한다면.. 상가는 너무 많고 공실도 넘쳐남.. 체감공실율은 60~70% 되는듯...그냥 세종은 현실적으로 적당한 중소도시 정도로 만드는 걸로 정리해야함.,-1
세종,정책효능감,행정수도에 찬성한 지방출신의 한 사람으로서 세종시 시장과 공무원들의 이런 세종 이기주의를 듣고 있으면 정말 한심해요.,-1
세종,정책효능감,세종시는 도시 기본 설계 개념부터 현실과 맞지 않아 여러 문제를 겪고 있다...행정수도라면서 정작 KTX 역이 없다.,-1
세종,정책효능감,1. 1생활권 3생활권 도시 미관 망함 2. 그러나 세종시는 완성된 도시가 아님...5. 대통령 집무실과 국회가 이전할 예정이기 때문에 세종 중심부에 정통성 있고 색다른 건물들이 들어설 예정,-1
세종,정책효능감,절대 안되지 ㅋㅋㅋ 서울 아파트값 다 떨어질텐데 그 아파트 갖고있는 인간들이 다 기득권인데 ㅋㅋ (국회 대통령집무실 이전논의에대한 의견),-1
세종,정책효능감,"10. 새종시가 서울시 인구를 분산 시킬려고 만든 도시인데 정작 사람들이 직장만 세종에서 다니고 집은 서울에 있어서, 아니면 주말마다 서울에서 지내서 망했다고..들었음",-1
세종,정책효능감,공연장도 넣고 문화생활 더 넣으면 좋을듯,-1
세종,정책효능감,세종 주민은 좋아요 문화생활 많고 사람도 많았으면 길거리 쓰레기 많아지고 서울처럼 번잡했을거 같아요..,-1
세종,정책효능감,"13. .. 학교시설 좋음,, 스마트 티비부터,, 태블릿 기본 구비에,, 화이트보드 쓴다,, 충격,,",1
세종,정책효능감,부모가 대부분 공무원...이라 양아치는 거의 없고...공부 압박도 거의 안하는 분위기임...그러다보니 명문대 진학률 낮고 애들 놀거 없으니 게임만 함,-1
세종,정책효능감,15. 세종시 정부 부처를 출입하면서 몇 가지 궁금증이 들게 됐습니다...가장 큰 문제는 도로망입니다. 도시 전체를 관통하는 메인 도로가 편도 2차선...에 불과합니다...,-1
세종,정책효능감,교사인데 세종 근무하는 교사들 말 들어보면 교육도 붕괴 수준이라더라.. 교육청도 체계가 안 잡혀서 잘 안돌아아고,-1
세종,정책효능감,세종시 애들 공부 진짜 못함 전국 최하위 수준임...전국 수능 평균 최하위 수준임 인서울은 커녕 충남대도 대부분 못가,-1
세종,정책효능감,ㄹㅇ 이게 혁신도시들의 가장 큰 문제죠ㅋㅋ부지만 넓고 자동차가 없으면 다닐 수 없어서 오히려 탄소배출량은 늘어나고...,-1
세종,정책효능감,아 나도 가보고 개빡쳤음 무슨 걍 몇블록 직진하면되는 구간인데 거기다가 계속 회전교차로박아놓고 30km 40km 50km 속도규정도 다 다르고...,-1
세종,노동경제,인구분산을 하려면 기업과 일자리가 들어와야 되는데 아파트만 때려짓고 투기만 조장한 결과,-1
세종,노동경제,친구 장사 하는데 이젠 완전히 죽었대요. 이번에 청와대 그거 하나 믿었다고 하는데....이젠 희망이 없대요,-1
세종,노동경제,생산은 없고 오직 소비만 발생시키는 도시아닌가 기업은 없고 세금으로 운영하는 관공서만 넘치는 곳,-1
세종,노동경제,세종도 세종인데.. 한때 세종 시민으로 문제점은 아파트값 올라서 부자행세하는것뿐 절대 돈안씀.,-1
세종,노동경제,"세종은 미래가 없긴 하지 지금도 부처들 계속 바깥으로 빠질려고 하던데 해수부, 기후에너지부, 산자부 등등",-1
