region,topic,text,label
울산,주거환경,진짜 태화강 너무 사랑해요 걸으면 마음이 정화돼서 사랑하는 장소에요,1
울산,주거환경,"울산덬 강변에서 러닝해도 좋고 자연환경은 좋다고 생각함..ㅋㅋㅋ 산,바다,강 다있음 눈 안와",1
울산,주거환경,태화강을 집에서 내려다보며 사는 일인입니다. 정말 태화강은 기적입니다. 강물이 엄청 맑아요,1
울산,주거환경,울산 노잼도시맞음. 근데 조용한거 좋아하면 살만함,1
울산,주거환경,순천만국가정원에 비교 불가다 울산은 좀 뭔가 허접하더라 그냥 큰 공원이라고 하면 맞다,-1
울산,주거환경,저 울산 사는대…가까운 남구 삼산동 주민이지만 50평생 한번 가봤는데 머 볼게 있어야가지…저기 여름에 자전거 도로가면 백로? 알까고 똥만 엄청싸서 악취가 장난이 아님,-1
울산,주거환경,더이상 골프장안지었으면 좋겠네요. 좁은 나라에 골프장충분해요.환경파괴도 많고요,-1
울산,주거환경,나는 울산이 제일 좋아 따뜻하고 교통도 좋고 부자도시 부산가깝고 맛집 많고,1
울산,주거환경,사람들이 점잖고 교양 있습니다. - 일단 고향인 사람들도 많이 살지만 전국 각지에서 일 또는 장기 출장 온 사람들이 많아요...다들 매너 있고 좋습니다.,1
울산,주거환경,인구 딱 적당하고 바다 있어서 습한것도 아니고 대왕암 공원 가니까 해무 존나 멋있고 바람 시원하더라,1
울산,주거환경,100만도시라 그럭저럭 살기에는 좋음. 온산같은 공단 옆에 센파트 이런데 빼고,1
울산,주거환경,"원래 수도권에 살았다가 울산에 직장을 잡아서 넘어왔는데, 태화강국가정원, 영남알프스, 동해바다도 있어서 자연과 공업이 어우러진 도시라 살기 좋은 도시더라구요 ㅎㅎ",1
울산,주거환경,울산에는 업무차 한번밖에 가보지않았지만 생각보다 도시가 여유로운 느낌이였습니다.,1
울산,주거환경,...울산 사람들이 돈버는 수준이 높아 그런지 성격들이 무난하고 생활 문화 수준?같은게 높은 것 같아요.,1
울산,주거환경,삼산살고 석화단지 출퇴근한다 ㅋㅋ 이마트 옆 아파트만 기면 똥냄새 존나 남 ㅋㅋ,-1
울산,주거환경,울산 30년이상 거주하면서 느낀 것 : 절대 부산처럼 관광도시가 될 수 없다. 해안에 집중된 기업공장들로 인해 특정해수욕장이외엔 그 근처도 못감.,-1
울산,주거환경,평생을 울산서 살하며 느낀점은 진짜 반쯤 도시란거 우리동네만 그럴수도 있긴한데 걷다보면 시골뷰랑 도시뷰가 좌우를 가득 채우는 진기한 경험이 가능함,1
울산,주거환경,"제가 울산 토박이인데.. 44살입니다.. 여러도시를 가봤지만 울산만큼, 바다, 영남알프스, 국가정원, 대공원 이렇게 잘되어 있는곳 없습니다.",1
울산,주거환경,현재 울산에서 자영업을 하고 있는데 시민의식이 높다라고 할가요?사는것도 조용한 편이라서 좋구요.,1
울산,주거환경,난 울산사는데 울산이 너무좋아💛 사람이 붐비지도 않고 도시자체가 깨끗해,1
울산,교통인프라,나는 울주군 사는데 이번에 버스노선 개편되면서 우리 지역 오는 버스 다 폐선 됐거든 ㅎ 눈 앞이 깜깜하다 지금 ㅎ 울산 차 없음 살기 힘들어ㅠㅠ,-1
울산,교통인프라,울산 노잼이야… 적어도 뚜벅이한테는…. 차 있으면 바다도 가깝고 좋을 것 같긴 함ㅋㅋㅋ,0
울산,교통인프라,고작 20분 아끼자고 한 기업을 위해 천문학적인 예산을 쓴다고? 세금 살살녹네.,-1
울산,교통인프라,Ktx나 남구로옮겨라..기차탈려면 한시간이나걸려야하고..,-1
울산,교통인프라,포텐셜은 부산보다 큰 도신데 무능한 정치인들이 말아먹은 도시. 당장 공항만 해도 제주도 전용임 ㅋㅋ,-1
울산,교통인프라,울산 터미널은 진짜 처참하네. 읍내수준,-1
울산,교통인프라,이딴거 하지말고 지하철좀 만들어라,-1
울산,교통인프라,내 생각에는 울산은 인구는없고 도심이 분산되어있는데...트램은...실효성이없을것 같다...태화강역을 울산역으로 바꿔라.,-1
울산,교통인프라,울산은 일단 지하철이 지어져야하고 본 시가지랑 ktx역이 있는 곳이랑 전철로 연결되고 도심도 연결되야함...,-1
울산,교통인프라,"""울산은 1인당 GDP도 가장 높은 도시라면서 지하철은 하나도 없고, 삼산로랑 울산역 오가는 5001번 버스 배차간격은 엉망진창이고, 수도권으로 치면 인천 포지션인데 대중교통 광역 환승은 쥐뿔도 없고...",-1
울산,교통인프라,"얘기 잘했다, 어린이 무료, 노인 요금 지원 이런 거보다 광역 환승할인 지원이 더 급하다니까???",-1
울산,교통인프라,시펄 울산에서 뚜벅이로 사는데 리얼 개 ㅈ같다 ㅋㅋㅋㅋㅋ ...교통 ㅈㄴ 개 불편하고 인프라도 노답이라 부산으로 다 나감,-1
울산,교통인프라,울산시민으로써 지하철 없어서 서럽다,-1
울산,교통인프라,영상에서도 나왔는데 자차없으면 거의 이동이 불가한 정도입니다 대중교통이 버스랑 택시밖에 없는데 버스는...배차시간이 40분 1시간 이런데 어딜 왔다갔다해요 ㅜㅜㅜ,-1
울산,교통인프라,...광역시란 딱지는 떼야하는게 맞는것같고 너무나 발전없는 도시라...이번 버스노선개편을 보고 진짜 또한번 놀랬습니다,-1
울산,교통인프라,트램만 완공된다면 정말정말 멋진 곳이 될 듯 합니다....,-1
울산,교통인프라,도로 잘 되어있고 부산은 차 끌고 가기 무서움 너무 좆 같고,-1
울산,교통인프라,울산은 시장들이 말아먹은 도시 인프라수준 최악,-1
울산,교통인프라,저기가 1인당 GDP 1위인데 인프라는 거기에 한참 못미침 ㅋ,-1
울산,교통인프라,"1인당 소득이 제일 높다는 것은 그 만큼 세금을 많이 낸다는 거죠...세금 제일 많이 내면서 서울, 수도권에 지하철 뚫어줄 동안 울산시민 제대로 운영되지도 않는 버스타고 다닙니다.",-1
울산,교통인프라,수도권에서 태어나 일때문에 울산에서 4년 살았지만 정말 답없는 도시.. 교통도 답없고 사회 문화 인프라가 이게 광역시가 맞나 싶더라..,-1
울산,정책효능감,"보는건 많음 근데 그런 곳에 재미있는 사람,행사,놀이기구가 없음",-1
울산,정책효능감,"대학교가 없음. 4년재 정규대학교 3~4개만 되더라도...인구유출,문화인프라 확충 문제 자동으로 다 해결된다고 생각됩니다.",-1
울산,정책효능감,한마디로 울산은 낭만이라곤 당췌 찾아볼 수 없는 사는 재미가 없는 그냥 삭막한 공업도시 임,-1
울산,정책효능감,"울산의 가장 큰 문제는 기업에만 의존해서, 일반 시민이나 관광객을 대상으로 한 인프라나 마인드를 갖추지 않은 거임.",-1
