region,topic,text,label
인천,의료보건,1. 저는 인천 성모병원 뇌병원에서 입원을 했었고 지금은 병이 잘 완치 되어서 일상으로 복귀했습니다.^^ 언제나 위급한 환자를 위해 최전선에서 헌신하시는 간호사 선생님들 항상 기도하고 응원하겠습니다.,1
인천,의료보건,"인천 보건환경연구원분의 인터뷰가 와닿네요 ""어두운 이 터널을 잘헤쳐 나가다보면 밝은 빛을 보는 날이 오기를 기다린다""는 말처럼 하루 빨리 코로나가 종식되었으면 좋겠어요 진심으로~",0
인천,의료보건,"대장내시경 후 복통 발생, 다음 날 X-RAY 검사상에서도 air 발견........ 대장 천공이 확실하고 의료진도 인정했는데 사망하자 말을 바꾸는 병원.",-1
인천,의료보건,영종도 주민이고 아플때마다 인하대병원 응급실로 가는데 40분걸리진 않음. 20분정도? 서울 살때도 아파트 지역 살아도 응급실 멀리있는경우가 많고 환자 많아서 진료받기 어려운 경험이 있어서 영종도가 낫네..싶더라고 난,1
인천,의료보건,다리 건너 종합병원 있는거랑 동네에 있는거랑은 아무리 가까워도 편리성에서 차이가 있지 진짜 응급이면 거리 조금이라도 가까워야 좋으니까 ㅜㅜ 영종도 오래 살았는데 종합병원 동네에 하나 생겼으면 함,-1
인천,의료보건,송도에 있음 난임병원때문이라도 해외에서 많이올텐데... 차병원난임잘보거든...병원들도 돈벌어야 여러 진료 볼수있게 잘돌아가는건데 왜 반대하지...,1
인천,의료보건,7. 천안 인천은 노인살기 좋은 도시인거같아...병원이 진짜 진짜 많아서 다니다보면 와 여기선 아파 죽을 일 없겠다 느껴짐....ㅋ...,1
인천,의료보건,인천 인구수에 비해 큰병원 정말 없는편인데,0
인천,의료보건,9. 대학병원이 세개나 있는데 많은거 아님...? 송도에 세브란스도 들어올 예정이고.. 서울 아닌데 대학병원 3개-4개 있는데 드물지 않나..?,1
인천,의료보건,인천 대학병원 여러개 있긴 한데 전반적으로 평이 안좋아서 큰수술이나 큰 병 있으면 부천이나 일산으로 넘어가는 편이라서 병원 체감 안되더라고ㅠ,-1
인천,정책효능감,인천은 관광사업으로 더 발전될수있는데도 진짜 투자한번 안하는거같음 월미도 가보세요 90년대 그대로임 디스코팡팡이 그나마 생명줄잡아줄뿐 한심함,-1
인천,정책효능감,도대체 인천시장은 돈을 어디다 쓰는지 시대가 어느시대인데 아직도 cctv조차 몇개없냐,-1
인천,정책효능감,...러브버그때도 걍 참으세요를 입으로 말해버리는 계양구청장 생각나서 꼴받음,-1
인천,정책효능감,멀쩡한 보드블럭 뜯지 말고 여기cctv 좀 달아주세요,-1
인천,정책효능감,5. 인천에서 재수생제외 수학 평가원 1등급 나오는 사람 100명도 안될듯ㅋㅋㅋ 우리 고등학교도 구에서 공부 제일 잘하는데도 6평 수학 1등급 전교생 180명에 2명이고 영어도 2명밖에 없음ㅋㅋㅋ,-1
인천,정책효능감,전국에서 공부 가장 못하는 지역 : 인천. 무려 20년넘게 수능 평균점수 전국꼴찌를 이어가고있다...애키울거면 절대 인천에서 키우면 안된다,-1
인천,정책효능감,"할렘가 많다. 달동네가 아직도 많다. 괜히 1호선 헬이라는 얘기 나오는 게 아님. 발령 잘못 떨어지면 다문화, 기초생활수급자, 진상 학부모 등등 미친다.",-1
인천,정책효능감,8. 인천가서 뭐 함? 관광인프라 없지 않음? 이라는 념글보고 긁혀서 인천 약30년 토박이의 인천 관광지 몇개 알려준다...1. BMW 드라이빙 센터 2. 영종도 인스파이어 리조트 3. 인천 송도 달빛축제공원,1
인천,교통인프라,마계인천 이부망천은 교통이 해결되지 않는이상 발전은 없다 관광지 개발해봐야 누가가냐 멀어서,-1
인천,교통인프라,"부평 독립이 원인천이 자체적으로 발전하는 길임. 부평, 계양구 합쳐서 부평시 만들고 나머지 인천끼리만 모여 집중을 해야함.",-1
인천,교통인프라,인천이 고향인 본인이 보는 입장은 아무리 저런식 으로 개발 하려는 자체가 잘 될 수가 없다는 것 수도권 서울 경기 인천 중 뭐든 가장 열악 한 가운데 재정 자체가 없으니...,-1
