region,topic,text,label
전북,주거환경,저긴 나중에 유령도시될듯 인구 유출 엄청심한데 짓는건 아파트밖에 없음,-1
전북,주거환경,익산은 하림이랑 대기업 공장들이랑 ktx 새만금 수혜 간접적으로 받아서 인구 방어 어느정도는가능함전 북에서 군산 익산 전주 이렇게 3군대는 아파트 지어도됨 그외는 모르겠고,1
전북,주거환경,"팩트) 전주 토박이로써 말하자면 사람 살만한곳은 신시 말고는 그닥 서신동 중고딩 애새끼들 ㅈㄴ 많고 아파트 오래됨, 이제 전주 중심 아님. 효자동 중대형 아파트 여기는 진짜 썩이다 ㅍㄹㅇㅇㅇ 말고 남양황실이딴대는 5층짜리 맨션임 걍 위치는 ㅅㅌㅊ. 코오롱은 평화동임 평화동 요즘 뭐가 많이 생기기는 하는데 애새끼들 물이 별로다.",0
전북,주거환경,전북 인구 감소 심각ㅠ,-1
전북,주거환경,전주는 좀 애매하긴하지 욕심없이 살거면 좋지 집값싸고 그래도 있을건 있고.. 근데 좀 낙후된곳이 많으니깐 밤엔 무서움,0
전북,주거환경,전주시 인구는 계속 줄고 있는데 뭔 놈의 아파트는 그리 지어대는지 이해를 못하겠네? 그렇다고 아파트 값이 싼 것도 아니고 사람도 없고 별것도 없는 전주 아파트가 평당 2천~3천만원이라는 게 말이나 되는 소리 인지...,-1
전북,주거환경,전주에....?? 누가 들어가냐고ㅠㅠ,-1
전북,주거환경,45층짜리를 저렇게 병풍으로 세운다고??? 전주 미관을 다 망칠일 잇나. 높이 다변화 안하냐,-1
전북,주거환경,"에코나 혁신은 원래 뭐 없던 땅에 전부 새로 지으면서 신도시 느낌 내는곳이라 일정 불편함을 감수하고 들어가는 곳인데 서신은 대놓고 중심가라.. 원래도 그랬고 앞으로도 ㅇㅇ 여유있게 사는거 좋아하면 에코,혁신. 사교육 신경쓰면서 편리하게 사고싶으면 서신인거지 주변에 학교많고 마트,백화점 다 있고 대로 바로 근처에 터미널도 가깝고 천변공원도 있고 각종 전주 번화가 다 가까운 위치임 물론 분양가가 좀이라도 내려가면 좋긴하겠다",1
전북,주거환경,본가 전주고 이모가 저 옆 살아서 자주 지나가는데 솔직히 전주에 에코시티나 효천도 에바라고 생각하고 전주에 저렇게 비쌀위치는 어디에도 없음,-1
전북,주거환경,전주 안그래도 인구수도 별로 없는데 아파트만 겁나 짓고 그 아파트 값은 또 겁나 비싸고 외부에서 부동산 놀음에 놀아나는 기분 ㅠㅠ,-1
전북,주거환경,이상하게 전주에 계속 아파트 지어. 주인은 전주사람이 아니다. 다 전세나 월세 돌리지,-1
전북,주거환경,나 에코 사는데 에코가 진짜 젤 좋은 것 같음 산책하기에!! 혁신이면 그럴만도ㅠㅠㅠㅠ 내 친구들도 혁싣 사는 애들은 유령도시같다고 그래… 난 혁신에 취업하고 싶어서 준비중이다 ㅎㅎㅎㅎ 쓰니 외롭겠다 진짜ㅠㅠㅠ,-1
전북,주거환경,아 전주토박이인데 공감못하면서 읽다가 “혁신도시”에서 아… 했음 거기 사는애들 하나같이 다 답답해 함…ㅠ 진짜 동떨어진 도시 느낌임,-1
전북,주거환경,집값 개 싸가지 없음 뭔 아파트가 4-5억함?? 군산인데??? 군산인데?????? 버스도 한시간에 한대 겨우 있는데 시간도 지 멋대로 오고 아주 난리임 아휴,-1
전북,주거환경,익산 원룸 가격 좀 내립시다 시설에 비해 너무 비싸,-1
전북,주거환경,"전주는 전북 최대도시라서 수도권, 충청, 경상, 강원 같은 타지역 사람들도 많은데 군산은 그냥 개폐쇄적인 동네라 정상인들이 적지",-1
전북,주거환경,군산이 1억 넘는게 비싼거 아닌지,-1
전북,주거환경,내가 몇년전 군산 가본적있었음 마침 그때 GM 철수한다니 뭐니해서 저동네 풍비박산나고 도시자체가 그냥 유령도시되어있었음 식사할려고 여기저기 돌아다녔는데 상권이 싹다죽어있고 문연 식당도없었음 동네는 생각보다 깨끗해서 살기는 괜찮겠으나 상권이없어서 불편한동네,-1
전북,주거환경,전라도군산이 뭔 1+억...,-1
전북,주거환경,군산은 아직 아파트 지을 빈땅이 넘쳐남... 구시가지 재개발 하느니 빈땅에 새아파트 올리는중. 저층이면 혹시 모를까 구도심 구축 고층은 답이 없다,-1
전북,교통인프라,수도권 살다가 부모님이랑 남원내려갈예정인데 없는게 많아서 놀람..영화관도없고... 자가용타고다닐거긴한데..교통편도..허허허.. 그래서 우리부모님들이 전남 살다가 서울로올라온듯.. 다시 내려가기는 하지만..,-1
전북,교통인프라,"ㄹㅇ 한국에 이런데가 또있나 싶음, 교통 최악이지 경전철 생길뻔한것도 16년전에 나가리됐지 그래서 버스로만 커버 되지 도시는 자꾸 커지지 버스 대수는 그대로지 그러다보니 시민 불만이 이만저만이 아니지 ㄹㅇ 갈라치기 해먹는 동네가 여기만큼 심한데가 없는 거 같음 진짜 돈 빨리 벌어서 여기 탈주해버리는게 정답인듯 ㅈㄴ ㅈ같다니까 차는 또 존나 쳐 막히지",-1
전북,교통인프라,익산이 최고인데 전주같은 구석탱이에 도청이 있어서 전북이 망했다,-1
전북,교통인프라,전주 집값 싼 건 맞음. 근데 인프라 은근 부족함. 차는 필수다.,-1
전북,교통인프라,"눈높이가 서울인접 근100만인구 시, 광역시특별시라면 인프라가 없긴한데 전주정도면 있을건 웬만한건 다 있긴 함",1
전북,교통인프라,"전주사는 사람 입장에서 객관적으로 보면, 롯데백화점 수준이 그냥 고급진 롯데몰입니다. 인프라는 제법 됩니다. 지하철이 없어 불편할 수 있겠군요. 대신 수도권에 비하면 출퇴근 걱정에서 꽤 자유로운 편입니다.",1
전북,교통인프라,전북이 진짜 세금 다 도로에 꼬라박았지 최근 15년새 이게 지방도로냐 싶을만큼 깜짝 놀랄정도로 좋아짐. 별 생소한 도로가 다 고속도로 같음,-1
전북,교통인프라,이렇게 심폐소생술이 성과를 거둔거 보면 철도가 전주로 안간게 너무 아쉬움. 전라도가 호고철 확정만 해놓고 너무 손놓은감이 있다,-1
전북,교통인프라,확실히 도로 하나는 아주 잘 닦아 놓았다고 갔다온 분들이 그러시긴 하셨음...,1
전북,교통인프라,시민단체랍시고 들어오려는 신세계도 쳐 막아놓은면서 시장위한답시고 개 ㅈ같이 살기 거지같은곳에 누가 사냐 ㅋㅋㅋ,-1
전북,교통인프라,이미 예전에 고속버스 터미널과 통합해서 옳기려고 했는데 버스 회사와 상인들이 반대해서 못 한 건데... 전주는 항상 주변 상인들이 문제임. 뭐 만 들어 오려고 하면 다 막아서 못하게 함.  그러니 발전이 없지... ㅉㅉ,-1
전북,교통인프라,왜냐면 전북 안에서의 교통이 개안좋기 때문임..근처 대전 광주가는게 시간도 덜 걸리고 차편도 많은데 거기가 더 도시거든,-1
전북,교통인프라,"나도 전주덬인데 전주에서 뭐 살 일이 없어. 롯백은 예나 지금이나 똑같고 이마트, 홈플, 롯데마트도 변하질 않아. 그에 비해 쿠팡은 새벽배송이 된단 말이지. 대형마트 가도 급한거나 사고 말지, 쇼핑 안 하거든. 놀곳도 정해져 있는데, 한옥마을은 관광객 미어터져서 전주사람은 가지도 않아. 먹을 것 많다고 해도 한정식이나 비빔밥을 매일 먹겠어. 에코시티 이후 크게 하는 개발도 없고, 한 단지씩 하는 개발은 너무 비싸.",-1
전북,교통인프라,익산 30분근처?에 사는데 코스트코 들어오기만을 기다리고 있다..,-1
전북,교통인프라,좋기는 한데 교통편 버스밖에 없는거 별로야 지하철도 없는데 버스 겁나 험악함;,-1
전북,교통인프라,개인적으로 교통이 불편.. 땅은 좁은데 차는 많고 도로 폭도 좁았어.. 이거 외에는 다 좋았음 맛집도 많고 타 지역 가는데에 큰 불편함도 없고,-1
전북,교통인프라,군산 버스 ㄱ ㅐ. 빡쳐 진짜 솔직히 1시간에 1대 너무한 거 아니냐곸ㅋㅋㅋㅋㅋ 자차 없으면 일하기 힘든 동네야,-1
전북,교통인프라,남원은 버스가 너무 느려터지게 운전함.. 테너지 있는것도 아니고 길막히는 대도시도 아닌데 탕수랑 시간을 어떻게 짠건지 참,-1
전북,정책효능감,라도뇌절충들 꼴보기 싫은데 ㄹㅇ 요즘은 전주가 대전보다도 더 매력 없어보임. 그냥 거품덩어리같음. 전주초코파이도 실상은 전형적인 마가린 듬뿍들어간 양산빵에 불과하고.,-1
전북,정책효능감,전주 ㄹㅇ 뭐 놀 게 없어,-1
전북,정책효능감,전주가봤는데 지방도시치고 그럭저럭 놀거많은 편이던데,-1
전북,정책효능감,"전주는 객리단길(소규모), 신시가지(중규모) 정도 되는 상권이 있어서 놀만은 합니다.",1
전북,정책효능감,그러면서 KCC 농구단도 쫓아내고 전북현대도 현대차 아니였으면 이미 쫓겨났을텐데도 개판치고 있지,-1
전북,정책효능감,"전북 사람인데 할게 없음 전북은… 성장기에도 한게 자전거 노래방 피시방인데 노래방 피시방은 지들끼리 단합해서 어느지역보다 요금이 비싸고.. 졸업하고 위에 올라와 있는데 명절 부모님 얼굴 뵈러가는거 아니면 갈 이유도 가고싶지도 않음 대형 마트는 시장이 죽는다고 거절하고 .. 여러 휴가시설(워터파크, 온천 등등) 건설사에서 사기쳐서 짓다 말고 흉가처럼 남아있고 그마져도 출산율이 낮아져서 학생들이 없으니까 시내의 유동인구도 줄어서 줄줄이 문닫고 참…",-1
전북,정책효능감,전주사는데 그냥 백화점이라고 하나있는 롯백 거기도 20년째 뭐가 바뀐 게 없음 1층에 애플이랑 노티드 들어온게 다임 유명브랜드 하나도 없고 1층에서 젤비싼게 닥스다,-1
