region,topic,text,label
충남,의료보건,지금보다 충남쪽 의대병상 2배 확장해야 의대생 실습이 가능한데..  이게 유지 가능한가?,-1
충남,의료보건,지방의료 살리겠다고 증원하지만 정작 지방의료원은 환자가없어서 붕괴직전인 아이러니ㅋㅋㅋㅋㅋㅋ,-1
충남,의료보건,수도권이나 종합병원으로만 몰려서 그랬지 지금도 노인분들 하루에 병원 몇군데씩 다니며 의료쇼핑하시는 분들 많아요,0
충남,의료보건,있는 의료원도 환자없어서 해마다 몇백억씩 적자다. 혈세로 메꾸고 있는데 ..이런거나 해결해라.,-1
충남,의료보건,대학병원말고 그 어떤 의료기관도 이용할 생각이 없는데 뭔 지역의료를 논하냐,-1
충남,의료보건,진정한 의사이십니다~!!!^^ 노고에 큰 감사를 드립니다~(충남 병원선 501호에 대한 의견),1
충남,의료보건,충남501호 모든 의료진들 고생 많으셨어요 좋은일 해주셔서 감사합니다 여러분들 덕분에 섬마을 어르신들이 힘이 되실거에요,1
충남,의료보건,충남501호 마지막 항해 응원합니다. 섬 주민을 위해 많은 희생과 노력을 잊지 않겠습니다. 감사합니다.,1
충남,의료보건,의료계랑 회의 했다는 것도 거짓이고.... 돈 준비한다는 것도 거짓말이고... 지방의료에 투자한다는 것도 거짓말이고...(충남대병원 경영악화에대한 의견),-1
충남,의료보건,이인간들이 보건의료인간들이구나.. 증원할때 신나서 박수치더니 지들 밥그릇에 문제생기니 이제야 나서네...,-1
충남,의료보건,병원에 의사가 없는데 방사선기사 간호사 랩장 원무과...다 있어봐야 뭐하겠노 환자를 못보자나...밑빠진독에 물붓기지(충남대병원 경영악화에대한 의견),-1
충남,의료보건,충남도지사 민영환 큰소리 치고 증원안하면 내년 줄이겠다고 협박했으니 의대생교육 시키려면 책임지겠지,-1
충남,노동경제,아산이 현재와 미래의 대한민국을 먹여 살리는 최고 도시. 작년 650억불 수출 전체 9.5% 담당으로 지자체중 1위.,1
충남,노동경제,수도권 공장총량규제로 앞으로 발전 인구증가 도시는 천안아산입니다 일자리가 가장중요하구요 일자리 지속될 지역입니다,1
충남,노동경제,공장지을 사장님들 수도권에서 만들기 쉽지않아요...나머지 공장 천안아산이 물류비용 등등 월등해서 계속 일자리 늘어남니다,1
충남,노동경제,4. 충남 일자리 좋은데 왜 공무원해.. 대구도 아니고 충남 일자리 괜찮은 대도시쪽은 공무원 굳이 라는 생각이 듭니다.,-1
충남,노동경제,충남 서산 당진 아산 천안에 일자리 많은거로 아는데 서산 대산공단에 일자리 많아 - dc App,1
충남,노동경제,천안에 공장 들어 가는거 그냥 전화 한통화 하고 면접 패스 하고 들어 가는거 졸라 많던데 ..,1
충남,노동경제,7. 아산 천안은 일자리가많아서그런가 생갤러(211.234) 꾸준히 인구수 느네,1
충남,노동경제,천안하고 아산에 삼성 sdi하고 디스플레이가 있어서 그 하청기업들이 많음. 아산에 현대차 공장은 보너스고,1
충남,노동경제,제발 오지마지마.. 님같은 외지분들이나 외국인들까지 천안 일자리 다 뺴앗아감..,1
충남,노동경제,"10. 각종 수도권규제로, 수도권이랑 가까운 비수도권인 천안시에 수도권 규제를 피하려고 여러 대학, 공장 등이 천안에 자리잡게 됨",1
충남,교통인프라,부동산을 오로지 투자의 시선에서만 바로보는 언론과 지자체도 문제가 심각하네요. 이케아라는 대형가구 플랫폼 유치라는게...,-1
충남,교통인프라,"천안 버스 한번 갈아엎어야함. 버스 질주 개쩜. 정류장 지나침은 기본, 시내에서 100밟음",-1
충남,교통인프라,저 천안 토박이 입니다 버스기사들이 너무 빡세서 토박이들도 버스기사들한테 굉장히 빡세게 굽니다 ㅋㅋㅋ,-1
충남,교통인프라,천안 삼개월산적있는데 버스기사들 한결같이 화가나있음 심지어 기사들 다 다른데 손님들 다 들리게 계속 욕함,-1
충남,교통인프라,천안 사는 사람인데요 천안 버스들은 교통위반을 엄청나게 합니다. 진짜로요.,-1
충남,교통인프라,천안버스 진짜 최---------악임 . 진짜 최악 이건 국가차원에서 봐줘야함 ...;,-1
충남,교통인프라,천안버스 진짜 최악입니다. 카드 찍기 전에 출발해서 노인 분 넘어지는 것도 보고...,-1
충남,교통인프라,천안아산-서울 매일 출근하는 현직자 입니다^^ 7년전 서울 정리하고 천안아산에서 잘 살아가고 있네요.,0
충남,교통인프라,"당진 ↔ 아산 출퇴근 중 입니다만, 고속도로 개통한 뒤 출/퇴근 시간 국도는 교통 체중이 더 심해졌습니다ㅠ",-1
충남,교통인프라,지역거주민입니다. 당진까지 연결되면 쓸만할거 같습니다. 지금 당장은 염치쪽 산단 물류 트럭들이 잘 사용하고 있는데 사실 거주민들에게는 큰 혜택이 없어요..,-1
충남,교통인프라,천안-논산 고속도로 차령터널 가기 전에 너무 정체가 심해요...,-1
충남,교통인프라,천안은 고속도로고 문제가 아님 출퇴근시간에 주요 도로들 다 존나막힘 서울도아니고...고속도로말고 외곽쪽으로 쭉 돌려서 주요 주거지를 쉽게갈수있도록 큰길을 내야함,-1
충남,교통인프라,충청도까지 이제 2시간 내 이동이 가능한 그냥 수도권이라고 봐야함.,1
충남,교통인프라,천안은 더 막히겠구나~,-1
충남,교통인프라,"저건 잘 모르겠고 천안 버스기사들 인성교육 의무제 시행해야함...울 할머니 타자마자 냅다 출발해서 넘어지심.. 기사가 사과할줄 알았는데 ""늙었으면 집에나 쳐박혀있지...""",-1
