region,topic,text,label
충북,주거환경,가망이 없는거같다,-1
충북,주거환경,"충주는 신도시 구도심 공통적으로 입지 교통 인프라 삼박자가 별로인데 아파트가격이 싼것도 아님 이제는 신축 가격이 옆동네 청주,원주,이천하고 비슷함..",-1
충북,주거환경,3. 뭐 하기야 충주는 인프라 발전하고 싶어도 뭐하나 들어온다하면 상인들이 반대를 하니 예전에 아울렛 들어오면서 참 많은걸 느꼇다 여기 발전하기 힘들겠구나 하는걸,-1
충북,주거환경,내가 생각해도 우리 증평 애들 키우기 진짜 좋음. 보강천도 있고 옆에 수영장 놀이터도 있고 마음껏 뛰놀고 보드랑 자전거 타면서 힐링도됨...,1
충북,주거환경,저 청주시 복대동 살고있는데요 공기 진짜얀좋아요 소각장때문인지 지금까지 몰랐네..,-1
충북,주거환경,청주사는데 저 지역 지나갈때 버스안까지 냄새가 진동한다 울렁거리고.. 소각장 꼭 필요하다면 규제들이 꼭 필요한것아닌가?,-1
충북,주거환경,우선 가장 큰 문제는 번화가가 없다는것임 인구20만이 넘는 지역인데 그럴듯한 번화가가없음...충주도 큰번화가가없다,-1
충북,주거환경,8. 청주 그래도 난 진심으로 사랑함 ㅇㅇ(124.197),1
충북,주거환경,9. 고등학교까지 개씹똥꾸릉내나는 경북 시골 촌구석에서 살다가 처음 청주에서 살게 됐을 때 충격은 아직도 생생하게 기억남 서울에는 뭐 당연히 한참 못미치지만 백화점 아이맥스영화관 등등 있을거 다있고...,1
충북,주거환경,나 청주사는데 집값 싸고 상대적으로 조용해서 좋고 단점은 이제 자차 없으면 너무 불편함,-1
충북,주거환경,ㅁㅈ 청주 살기 좋아 ㅋㅋㅋㅋㅋ 카페도 많고 엄청 북적거리지도 않고 딱 적당한 느낌...,1
충북,주거환경,오송 오창 여기 밤에 탄냄새랑 이상한 화학약품 냄새 오짐 청주 도심도 그렇고 밤마다 탄내 ㅅㅂ 산책하다 머리 아파서 이제 안함..,-1
충북,주거환경,"양아치 천국, 수상할 정도로 큰범죄 많이 일어남",-1
충북,주거환경,민심 인심 사나운 동네임 알고가라 인프라는 많은데 범죄율도 높음,-1
충북,주거환경,청주 있다가 왔는데 공기질 진짜 최악임 그런 도시는 첨인 듯,-1
충북,주거환경,청주 양아치 조폭 ㅈㄴ 많아 범죄도 많고,-1
충북,주거환경,의외로 저사이에 끼어있는 증평군이 충북에서 사회초년생이 보내기 좋은 곳임 집값도 싼편이고...적당한 인프라(뭔 시골에 스타벅스가 있음)다 안정적임,1
충북,주거환경,혁신도시 사는 사람인데요 없어요 진짜로 걍 수도권 사세요 차 타고 5분 나가면 논밭산비닐하우스에요,-1
충북,주거환경,청주에서 태어나 초 중 고 나오고 대학까지 청주에서 다니는 찐 토박이인데.. 나름 불만없이 잘 살고있고 청주 사는거 만족합니다..,1
충북,주거환경,청주에 쭉 살고있는데 조용히 일하면서 살기에는 진짜 좋음 가끔 시내가서 놀고 무심천가서 자전거 타고 가족단위로 살기 좋은 지역이라고 생각함,1
충북,주거환경,충주 지역 텃새가 엄청 심한곳. 외지인에 대한 경계가 심함...밤에 당장 연수동만 가더라도 문신한 어린애들이 담배피면서 찍찍 침뱉으며 호객행위하고...,-1
충북,주거환경,"MB가 토건족 돈벌라고 충주기업도시를 건설 했지만 역시나 실패...충주땜이 한강의 젓줄이라 개발 불가능. 충주, 제천, 단양 통합해야 인구수 정체를 막을수 있는 방법밖에 없는 암울한 충주.ㅠㅠ",-1
충북,주거환경,제천이 고향은 아니지만 1년정도 제천 살면서 이 동네는 진짜 추운동네라고 느꼈습니다. 사람들이 말하길 '제베리야' 라고들 하는데 저번 겨울 진짜 무진장 춥더라고요...제천에는 영화관이... 있었는데요 없었습니다.,-1
충북,주거환경,"고향이 충주라 가끔씩 가보면 충주 상권은 호암 상권밖에 없음 ㅋㅋㅋ 땅덩어리는 오지게 넓은데 인구는 20만 따리, 게다가 대부분이 어르신들이라 젊음의 거리는 당연히 없고",-1
충북,주거환경,어두운 면을 몇개 말하자면 1 지역이 석회암 지대라서 물이 아주 안좋은 2역시 석회암 지대라서 시멘트 산업이 발달해서 주변 환경과 대기가 최악임...,-1
충북,주거환경,도담상봉을 비롯한 단양팔경도 좋아요.그런데 단양엔 맛집이 없어요.,-1
충북,주거환경,청주도 노잼도시로 유명한데 전체적으로 발전 좀 해야될듯 참고로 청주인임,-1
충북,주거환경,아직 단풍올 볼 수 있는 시기는 한참 남았지만 이런 영상보면 힐링 되요 ㅎㅎ 그리고 여행도 가고 싶구요.,-1
충북,주거환경,청주 한바퀴 돌아보면 아파트 어마어마하게 짓고 있음 새로 짓는 아파트에 들어가려는 사람이 그렇게 많은지 의문임,-1
충북,주거환경,충주는 60여년째 인구가 20만명임 늘지도 않고 줄지도 않고... 참 신기한 도시임,-1
